 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.10635035E-08   1226.0730863   1226.0730863       252
  0.10639457E-08   1232.4684928   1232.4684928       253
  0.10649382E-08   1226.2584543   1226.2584543       254
  0.10683561E-08   1238.6445104   1238.6445104       255
  0.10726454E-08   1250.6131215   1250.6131215       256
  0.10775120E-08   1244.4104528   1244.4104528       257
  0.10802781E-08   1232.5658845   1232.5658845       258
  0.10806428E-08   1238.6473950   1238.6473950       259
  0.10884208E-08   1238.5526693   1238.5526693       260
  0.10894493E-08   1238.6770803   1238.6770803       261
  0.10903034E-08   1238.5526736   1238.5526736       262
  0.10938711E-08   1238.6266040   1238.6266040       263
  0.10951388E-08   1244.9449700   1244.9449700       264
  0.10969275E-08   1251.1092841   1251.1092841       265
  0.10971177E-08   1257.4549652   1257.4549652       266
  0.10990114E-08   1263.5254255   1263.5254255       267
  0.11042548E-08   1269.7434168   1269.7434168       268
  0.11119504E-08   1275.9409921   1275.9409921       269
  0.11226237E-08   1282.0285522   1282.0285522       270
  0.11271157E-08   1288.3812043   1288.3812043       271
  0.11277199E-08   1294.6305191   1294.6305191       272
  0.11318457E-08   1300.6388812   1300.6388812       273
  0.11386231E-08   1306.9169004   1306.9169004       274
  0.11396645E-08   1300.6388656   1300.6388656       275
  0.11517723E-08   1306.9169013   1306.9169013       276
  0.11537952E-08   1312.9465607   1312.9465607       277
  0.11593477E-08   1319.2419596   1319.2419596       278
  0.11738146E-08   1331.6572648   1331.6572648       279
  0.11740219E-08   1337.8738577   1337.8738577       280
  0.11776863E-08   1344.0509987   1344.0509987       281
  0.11788986E-08   1350.3309656   1350.3309656       282
  0.11793763E-08   1356.2831461   1356.2831461       283
  0.11795167E-08   1350.4136081   1350.4136081       284
  0.11844110E-08   1356.3469494   1356.3469494       285
  0.11896607E-08   1362.7179463   1362.7179463       286
  0.11931442E-08   1368.8080942   1368.8080942       287
  0.11957460E-08   1374.8773958   1374.8773958       288
  0.11969311E-08   1381.4088256   1381.4088256       289
  0.12094121E-08   1387.3134316   1387.3134316       290
  0.12186141E-08   1393.5676665   1393.5676665       291
  0.12207656E-08   1399.7223784   1399.7223784       292
  0.12246721E-08   1405.8373627   1405.8373627       293
  0.12250347E-08   1412.0858041   1412.0858041       294
  0.12395425E-08   1418.3422406   1418.3422406       295
  0.12431326E-08   1424.4907934   1424.4907934       296
  0.12468746E-08   1430.6083747   1430.6083747       297
  0.12509157E-08   1436.6047814   1436.6047814       298
  0.12531735E-08   1442.8661092   1442.8661092       299
  0.12571767E-08   1436.6047858   1436.6047858       300
  0.12574617E-08   1442.6787661   1442.6787661       301
  0.12698118E-08   1448.9330383   1448.9330383       302
  0.12707489E-08   1455.3490537   1455.3490537       303
  0.12753454E-08   1461.4934702   1461.4934702       304
  0.12867476E-08   1468.0058266   1468.0058266       305
  0.12887838E-08   1473.8249893   1473.8249893       306
  0.12941973E-08   1479.8551825   1479.8551825       307
  0.12946022E-08   1480.1791912   1480.1791912       308
  0.12950065E-08   1479.9205758   1479.9205758       309
  0.13018923E-08   1492.1494906   1492.1494906       310
  0.13037288E-08   1492.2608948   1492.2608948       311
  0.13077520E-08   1498.4100489   1498.4100489       312
  0.13085908E-08   1505.0210330   1505.0210330       313
  0.13150499E-08   1510.7390168   1510.7390168       314
  0.13201973E-08   1511.0567593   1511.0567593       315
  0.13235939E-08   1523.5308134   1523.5308134       316
  0.13238337E-08   1517.3953680   1517.3953680       317
  0.13239095E-08   1523.5106000   1523.5106000       318
  0.13267052E-08   1529.6519194   1529.6519194       319
  0.13290614E-08   1535.8345782   1535.8345782       320
  0.13291498E-08   1541.8406560   1541.8406560       321
  0.13321575E-08   1548.0747714   1548.0747714       322
  0.13323349E-08   1554.2904616   1554.2904616       323
  0.13636495E-08   1560.5860728   1560.5860728       324
  0.13723967E-08   1566.8226117   1566.8226117       325
  0.13774199E-08   1560.5860720   1560.5860720       326
  0.13868198E-08   1566.8224915   1566.8224915       327
  0.13897996E-08   1573.2650969   1573.2650969       328
  0.13899264E-08   1579.4060378   1579.4060378       329
  0.14015446E-08   1591.7542403   1591.7542403       330
  0.14109085E-08   1591.8327750   1591.8327750       331
  0.14149740E-08   1610.2115914   1610.2115914       332
  0.14205275E-08   1616.3327459   1616.3327459       333
  0.14205281E-08   1622.4244875   1622.4244875       334
  0.14249746E-08   1628.7446366   1628.7446366       335
  0.14275471E-08   1641.1408132   1641.1408132       336
  0.14284026E-08   1653.7139864   1653.7139864       337
  0.14298634E-08   1666.1344335   1666.1344335       338
  0.14308622E-08   1678.4919510   1678.4919510       339
  0.14333509E-08   1666.1345903   1666.1345903       340
  0.14387945E-08   1666.0301242   1666.0301242       341
  0.14423378E-08   1665.9557595   1665.9557595       342
  0.14476878E-08   1666.0301191   1666.0301191       343
  0.14494498E-08   1678.2278015   1678.2278015       344
  0.14508588E-08   1684.6207143   1684.6207143       345
